k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
2;-6,08E-06;1,00000608;-6,00E-06;1,000006;-6,08E-06;1,00000608
;2,000012159;-1,22E-05;2,000012;-1,20E-05;2,000012159;-1,22E-05
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
3;3,000284195;-2,000284195;3,000264023;-2,000264023;3,000284195;-2,000284195
;-16,00146675;18,00146675;-16,00135612;18,00135612;-16,00146675;18,00146675
;18,00136566;-15,00136566;18,00126011;-15,00126011;18,00136566;-15,00136566
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
4;-381,3637695;382,3637695;-381,324887;382,324887;-381,3492432;382,3492432
;4 115,36035156250000000;-4 113,36035156250000000;4 114,93815747666030802;-4 112,93815747666030802;4 115,19140625000000000;-4 113,19140625000000000
;-9 709,14062500000000000;9 712,14062500000000000;-9 708,14249376101906819;9 711,14249376101906819;-9 708,72949218750000000;9 711,72949218750000000
;6 244,24218750000000000;-6 240,24218750000000000;6 243,60028035775030730;-6 239,60028035775030730;6 243,97314453125000000;-6 239,97314453125000000
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
5;-35,30480957;36,30480957;-35,01149747;36,01149747;-35,31237793;36,31237793
;3 188,24438476562500000;-3 186,24438476562500000;3 182,82980041928658466;-3 180,82980041928658466;3 188,53686523437500000;-3 186,53686523437500000
;-20 474,78710937500000000;20 477,78710937500000000;-20 451,62021753895169240;20 454,62021753895169240;-20 476,42968750000000000;20 479,42968750000000000
;37 797,37500000000000000;-37 793,37500000000000000;37 762,58444276460795663;-37 758,58444276460795663;37 800,23046875000000000;-37 796,23046875000000000
;-20 911,19531250000000000;20 916,19531250000000000;-20 894,24795727128002909;20 899,24795727128002909;-20 912,72265625000000000;20 917,72265625000000000
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
6;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
7;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
8;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
9;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
10;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
11;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
12;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
13;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
14;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.)
15;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd)
